Date,Service Category,Marketing Channel,Season,Customer Type,Ad Spend,Conversions,Daily Revenue
2024-09-19,Plumbing,Google,Spring,Returning,187.13,8,167.72
2024-07-06,Cleaning,Google,Fall,New,133.02,6,182.42
2024-12-30,Plumbing,Flyers,Winter,New,149.27,8,329.17
2024-10-27,Plumbing,Yelp,Summer,Returning,112.29,4,157.25
2024-09-11,HVAC Repair,Flyers,Spring,Returning,136.21,8,101.86
2025-04-21,Plumbing,Yelp,Winter,Returning,99,2,26.08
2025-01-28,HVAC Repair,Yelp,Spring,Returning,16.12,7,250.37
2024-05-18,HVAC Repair,Referral,Spring,New,70.51,9,437
2025-02-22,Plumbing,Referral,Summer,New,150.19,2,66.19
2025-01-15,HVAC Repair,Yelp,Spring,Returning,131.75,10,287.37
2025-03-18,Cleaning,Google,Fall,New,12.35,1,21.74
2024-05-04,Plumbing,Yelp,Spring,New,67.62,3,79.96
2024-11-03,HVAC Repair,Flyers,Fall,Returning,58.68,6,193.92
2024-10-27,Cleaning,Yelp,Summer,New,167.12,7,343.38
2024-06-17,HVAC Repair,Yelp,Summer,Returning,152.86,9,246.41
2025-03-04,Plumbing,Google,Fall,New,147.71,10,363.68
2024-06-21,Plumbing,Flyers,Summer,New,29.01,1,40.77
2024-12-26,Cleaning,Google,Winter,New,132.65,8,200.13
2024-11-25,Plumbing,Yelp,Fall,New,85.34,10,455.62
2025-03-10,Electrician,Google,Fall,Returning,175.08,6,72.79
2024-09-13,Electrician,Yelp,Spring,New,41.63,4,156.59
2025-04-07,HVAC Repair,Flyers,Winter,Returning,164.4,6,156.33
2025-02-21,Electrician,Google,Summer,New,192.77,9,352.3
2024-11-12,HVAC Repair,Yelp,Fall,Returning,194.1,7,346.28
2025-03-24,Plumbing,Yelp,Fall,New,159.03,5,244.77
2024-07-28,Cleaning,Flyers,Fall,New,104.43,10,91.69
2025-03-23,HVAC Repair,Flyers,Fall,Returning,134.74,1,11.88
2024-12-12,Cleaning,Yelp,Winter,New,19.91,7,210.75
2024-08-10,Electrician,Google,Winter,New,130.7,1,7.96
2024-12-06,Plumbing,Google,Winter,Returning,141.71,8,194.15
2024-12-24,Electrician,Flyers,Winter,New,110.87,3,123
2024-12-12,Cleaning,Flyers,Winter,Returning,30.06,8,371.46
2024-11-28,Electrician,Yelp,Fall,New,13.86,1,35.14
2024-08-23,Cleaning,Yelp,Winter,New,140.72,2,71.81
2024-05-20,Plumbing,Flyers,Spring,New,93.79,2,13.78
2025-02-17,Cleaning,Referral,Summer,New,187.27,8,290.87
2025-04-30,Electrician,Referral,Winter,Returning,19.34,4,119.09
2025-01-28,Plumbing,Flyers,Spring,Returning,130.87,3,64.85
2024-08-04,Cleaning,Yelp,Winter,Returning,128.66,9,106.65
2024-12-17,HVAC Repair,Referral,Winter,New,109.03,9,234.56
2025-03-03,Plumbing,Yelp,Fall,Returning,39.82,2,82.47
2024-05-21,HVAC Repair,Flyers,Spring,Returning,79.7,3,17.41
2025-03-23,HVAC Repair,Flyers,Fall,Returning,176.31,2,43.69
2024-11-21,HVAC Repair,Flyers,Fall,New,19.21,9,431.37
2024-12-04,HVAC Repair,Flyers,Winter,New,55.08,7,170.77
2025-02-23,Cleaning,Google,Summer,Returning,137.36,7,82.06
2025-01-27,Electrician,Google,Spring,Returning,85.33,4,155.97
2024-09-21,Cleaning,Yelp,Spring,Returning,175.87,4,88.79
2024-10-19,Electrician,Google,Summer,Returning,24.95,6,110.41
2024-07-03,HVAC Repair,Flyers,Fall,New,128.15,2,48
2025-03-11,Plumbing,Google,Fall,New,160.7,5,114.56
2024-06-04,Electrician,Referral,Summer,New,151.82,3,132.37
2025-04-20,Plumbing,Referral,Winter,New,145,8,237.04
2025-03-12,Cleaning,Referral,Fall,Returning,174.71,1,31.42
2024-09-03,Cleaning,Google,Spring,Returning,135.35,2,84.43
2025-03-12,Plumbing,Referral,Fall,New,163.52,2,82.99
2024-06-01,Electrician,Flyers,Summer,Returning,91.91,6,237.99
2024-10-22,HVAC Repair,Flyers,Summer,New,103.61,6,234.5
2024-07-23,Plumbing,Google,Fall,Returning,12.99,10,260.23
2024-09-08,Electrician,Google,Spring,New,194.34,4,116.12
2025-01-26,Plumbing,Yelp,Spring,Returning,145.61,4,123.48
2024-07-07,Cleaning,Referral,Fall,Returning,178.69,5,107.91
2024-10-14,HVAC Repair,Yelp,Summer,New,162.85,10,321.95
2024-11-15,Plumbing,Referral,Fall,Returning,123.37,6,42.93
2025-01-20,Plumbing,Google,Spring,New,165.33,4,56.44
2024-06-23,Plumbing,Flyers,Summer,New,176.47,7,91.4
2025-01-28,Cleaning,Google,Spring,New,159.96,5,27.88
2024-11-18,Plumbing,Referral,Fall,Returning,33.46,8,292.92
2024-05-25,Cleaning,Flyers,Spring,Returning,125.98,8,223.43
2024-11-05,Electrician,Flyers,Fall,New,185.38,2,38.62
2025-01-14,Plumbing,Referral,Spring,Returning,46.61,4,51.17
2024-05-29,Cleaning,Yelp,Spring,Returning,100.72,4,104.82
2024-08-25,Electrician,Yelp,Winter,Returning,182.92,5,193.1
2024-11-28,Cleaning,Google,Fall,Returning,17.79,2,76.77
2024-05-31,Electrician,Flyers,Spring,Returning,129.35,7,233.24
2024-08-03,Cleaning,Referral,Winter,New,109.93,2,91.1
2024-09-13,Cleaning,Referral,Spring,New,13.86,1,27.96
2024-08-21,Cleaning,Referral,Winter,Returning,32.38,4,115.57
2024-09-19,HVAC Repair,Google,Spring,New,173.46,1,6.64
2024-11-25,Electrician,Flyers,Fall,Returning,169.01,7,227.74
2024-10-13,Plumbing,Yelp,Summer,New,61.85,4,114.25
2025-01-20,Electrician,Referral,Spring,New,22.02,2,62.34
2024-07-08,Cleaning,Flyers,Fall,Returning,40.63,1,47.44
2025-04-15,HVAC Repair,Yelp,Winter,New,77.83,2,99.73
2024-10-14,Cleaning,Referral,Summer,New,147.24,5,130.32
2024-12-25,Electrician,Google,Winter,Returning,139.14,8,257.68
2024-05-05,Plumbing,Google,Spring,New,153.09,10,131.09
2025-02-23,HVAC Repair,Referral,Summer,New,191.02,3,28.44
2025-02-27,Electrician,Referral,Summer,New,13.2,7,321.96
2025-04-30,Plumbing,Google,Winter,New,56.9,4,196.51
2025-02-24,HVAC Repair,Referral,Summer,Returning,46.1,4,126.45
2025-03-21,Cleaning,Google,Fall,Returning,176.55,8,189.4
2024-10-22,Plumbing,Flyers,Summer,New,104.62,6,275.61
2024-12-01,Cleaning,Flyers,Winter,New,135.83,10,122.55
2025-03-23,Cleaning,Google,Fall,New,60.34,6,125.6
2025-03-12,Electrician,Google,Fall,Returning,146.21,2,97
2025-03-27,Plumbing,Google,Fall,New,25.75,6,266.3
2025-04-22,Plumbing,Google,Winter,Returning,149.47,10,293.43
2024-05-02,Plumbing,Flyers,Spring,New,105.54,5,151.96
2025-03-05,Plumbing,Yelp,Fall,Returning,55.75,9,232.57
2025-04-03,Cleaning,Yelp,Winter,New,190.35,8,178.72
2025-04-15,Cleaning,Google,Winter,New,38.24,1,21.43
2024-06-10,HVAC Repair,Yelp,Summer,New,26.09,8,118.41
2024-07-02,Electrician,Yelp,Fall,Returning,140.66,1,15.05
2024-06-05,Electrician,Flyers,Summer,New,43.29,2,15.95
2024-09-05,Cleaning,Google,Spring,Returning,102.28,7,172.05
2024-05-21,Cleaning,Flyers,Spring,New,116.92,10,70.32
2024-09-26,HVAC Repair,Flyers,Spring,New,109.02,9,360.74
2025-02-21,HVAC Repair,Referral,Summer,New,55.28,3,148.54
2025-03-29,Cleaning,Yelp,Fall,New,197.97,5,237.8
2024-08-26,Cleaning,Referral,Winter,New,62.63,2,65.32
2024-09-10,Electrician,Yelp,Spring,New,102.53,7,92.89
2024-08-11,HVAC Repair,Yelp,Winter,Returning,33.44,8,212.11
2024-10-08,HVAC Repair,Flyers,Summer,Returning,133.31,2,34.18
2025-01-16,Cleaning,Yelp,Spring,Returning,35.4,8,157.2
2024-05-04,Cleaning,Yelp,Spring,Returning,187.05,10,255.56
2024-05-17,Plumbing,Yelp,Spring,New,49.1,10,149.7
2024-07-13,Plumbing,Google,Fall,Returning,35.42,1,45.62
2024-08-20,Plumbing,Referral,Winter,Returning,145.63,9,289.24
2025-03-01,HVAC Repair,Yelp,Fall,New,12.92,8,329.37
2024-08-10,HVAC Repair,Referral,Winter,Returning,162.62,9,47.89
2025-04-01,Plumbing,Google,Winter,New,11.47,1,42.6
2024-06-05,Electrician,Flyers,Summer,Returning,48.66,3,33.17
2025-03-03,HVAC Repair,Google,Fall,Returning,75.2,8,389.21
2024-06-18,Cleaning,Referral,Summer,New,75.13,5,224.79
2025-02-24,Cleaning,Yelp,Summer,New,30.88,1,14.79
2024-10-28,Plumbing,Referral,Summer,New,165.08,6,74.61
2024-08-03,Cleaning,Google,Winter,Returning,153.13,2,20.28
2024-09-08,HVAC Repair,Yelp,Spring,Returning,148.32,10,417.23
2024-10-09,Plumbing,Referral,Summer,Returning,192.82,9,263.35
2024-06-20,HVAC Repair,Referral,Summer,Returning,66.26,10,494.26
2024-12-18,Cleaning,Google,Winter,Returning,105.48,9,186.87
2024-06-30,Plumbing,Flyers,Summer,Returning,80.55,9,310.94
2024-06-17,Cleaning,Google,Summer,Returning,76.8,2,52.75
2025-01-17,Cleaning,Yelp,Spring,Returning,72.05,6,211
2024-08-12,HVAC Repair,Google,Winter,New,160.99,3,59.04
2024-11-23,HVAC Repair,Yelp,Fall,New,85.43,10,479.49
2024-10-07,Cleaning,Referral,Summer,Returning,85.91,6,214.13
2024-12-28,Plumbing,Flyers,Winter,Returning,107.99,3,45.96
2024-05-14,Electrician,Flyers,Spring,New,55.47,4,162.66
2024-07-18,Electrician,Flyers,Fall,Returning,26.48,3,135.65
2025-02-15,Cleaning,Referral,Summer,Returning,174.05,2,96.9
2025-04-11,Cleaning,Flyers,Winter,Returning,124.28,10,432.45
2025-01-09,Plumbing,Google,Spring,New,154.3,7,49.13
2024-08-06,HVAC Repair,Yelp,Winter,Returning,115.42,4,150.17
2024-06-08,Electrician,Google,Summer,New,158.73,9,67.87
2024-11-02,Cleaning,Referral,Fall,Returning,166.3,8,341.11
2025-03-21,Plumbing,Flyers,Fall,New,109.34,3,50.13
2024-11-15,Cleaning,Google,Fall,Returning,122.64,4,86.07
2024-10-31,HVAC Repair,Google,Summer,Returning,42.24,2,56.93
2025-04-29,Electrician,Referral,Winter,New,37.31,8,57.92
2025-02-19,HVAC Repair,Yelp,Summer,New,31.69,4,21.5
2024-12-01,Cleaning,Referral,Winter,Returning,51.42,10,181.59
2024-10-19,Cleaning,Yelp,Summer,Returning,179.15,4,97.3
2024-11-19,Plumbing,Flyers,Fall,Returning,126.62,8,372.37
2025-01-10,Plumbing,Flyers,Spring,New,114.36,4,64.66
2025-03-29,Plumbing,Flyers,Fall,New,77.52,4,160.18
2025-02-09,Electrician,Referral,Summer,Returning,121.6,1,26.76
2025-01-14,Electrician,Flyers,Spring,Returning,179.64,3,44.6
2025-04-15,Plumbing,Flyers,Winter,Returning,99.94,9,384.78
2024-08-11,Plumbing,Yelp,Winter,Returning,16.28,2,36.55
2024-09-07,Electrician,Referral,Spring,Returning,117.58,5,224.21
2025-01-10,HVAC Repair,Yelp,Spring,Returning,136.38,7,243.63
2024-09-14,Plumbing,Google,Spring,Returning,121.16,6,169.37
2025-03-06,HVAC Repair,Referral,Fall,Returning,93.71,7,333.3
2024-05-29,HVAC Repair,Flyers,Spring,New,52.52,1,34.19
2024-05-03,Plumbing,Referral,Spring,Returning,135.96,3,81.06
2024-12-27,Plumbing,Google,Winter,Returning,134.85,8,240.87
2024-08-07,Cleaning,Yelp,Winter,Returning,159.57,2,42.57
2025-02-17,Electrician,Yelp,Summer,Returning,110.78,10,422.82
2024-09-07,HVAC Repair,Google,Spring,New,48.76,3,85.05
2025-04-24,Cleaning,Yelp,Winter,New,181.88,1,6.92
2024-06-25,HVAC Repair,Referral,Summer,Returning,67.84,4,49.8
2024-07-10,Plumbing,Referral,Fall,Returning,180.64,3,86.35
2024-11-17,Cleaning,Flyers,Fall,New,82.24,2,42.09
2024-06-11,Plumbing,Referral,Summer,New,138.15,2,76.47
2024-11-23,HVAC Repair,Google,Fall,Returning,145.11,5,139.61
2024-06-14,HVAC Repair,Referral,Summer,Returning,124.92,4,177.75
2024-12-30,HVAC Repair,Yelp,Winter,New,45.09,4,144.32
2024-07-22,Electrician,Flyers,Fall,Returning,168.74,10,351.1
2024-08-23,Cleaning,Flyers,Winter,Returning,139.53,1,16.14
2024-11-08,Electrician,Yelp,Fall,Returning,42.37,10,344
2024-05-08,Electrician,Referral,Spring,Returning,176.99,3,96.43
2024-11-09,Cleaning,Yelp,Fall,New,28.57,4,198
2025-02-26,Cleaning,Referral,Summer,New,58.7,8,126.01
2024-05-17,HVAC Repair,Google,Spring,Returning,110.22,2,77.22
2024-07-26,Electrician,Google,Fall,Returning,108.11,4,196.7
2025-05-01,Electrician,Flyers,Spring,New,18.42,9,447.35
2024-12-29,Plumbing,Yelp,Winter,Returning,44.58,4,124.38
2024-07-31,Plumbing,Referral,Fall,Returning,29.66,1,21
2024-10-23,Plumbing,Flyers,Summer,New,83.28,9,197.06
2024-09-14,Electrician,Flyers,Spring,Returning,92.73,4,56.94
2025-03-20,Plumbing,Google,Fall,Returning,153,2,76.61
2024-10-06,Cleaning,Flyers,Summer,Returning,101.77,3,115.04
2024-05-20,HVAC Repair,Referral,Spring,New,194.05,6,269.2
2025-03-21,HVAC Repair,Flyers,Fall,New,58.39,7,104.98
2025-04-08,Electrician,Referral,Winter,Returning,91.14,7,106.4
2024-05-30,Electrician,Yelp,Spring,New,95.09,4,159.54
2024-07-04,HVAC Repair,Flyers,Fall,Returning,112.7,3,148.5
2025-02-27,HVAC Repair,Google,Summer,Returning,124.39,7,184.75
2024-07-28,Cleaning,Yelp,Fall,New,184.89,9,436.3
2024-09-14,HVAC Repair,Google,Spring,New,44.93,6,291.08
2024-08-05,Electrician,Flyers,Winter,Returning,171.79,5,125.06
2025-04-07,Cleaning,Google,Winter,Returning,141.12,7,326.13
2024-09-13,HVAC Repair,Yelp,Spring,New,127.43,6,33.14
2024-06-16,Plumbing,Yelp,Summer,Returning,125.33,9,272.16
2025-04-29,Plumbing,Referral,Winter,New,107.97,6,202.01
2025-02-14,Cleaning,Yelp,Summer,Returning,45.34,7,61.36
2024-07-25,Plumbing,Flyers,Fall,New,163.07,9,245.56
2024-10-04,Plumbing,Google,Summer,New,154.69,1,29.46
2025-03-10,HVAC Repair,Google,Fall,New,186.2,7,65.62
2025-03-25,HVAC Repair,Flyers,Fall,Returning,68.96,8,208.36
2024-05-12,HVAC Repair,Yelp,Spring,New,108.09,8,319.11
2024-12-21,Electrician,Referral,Winter,New,74.59,9,241.43
2024-08-01,HVAC Repair,Yelp,Winter,Returning,167.97,10,61.31
2024-09-23,Plumbing,Yelp,Spring,New,193.85,8,82.96
2024-05-02,Electrician,Yelp,Spring,New,128.55,1,39.32
2025-03-31,Electrician,Yelp,Fall,New,110.32,7,91.53
2025-04-06,Cleaning,Referral,Winter,Returning,13.36,7,315.87
2025-04-24,Plumbing,Referral,Winter,Returning,26.1,5,39.01
2024-12-25,Plumbing,Referral,Winter,New,166.28,7,161.13
2024-08-20,Electrician,Flyers,Winter,New,172.47,10,383.53
2024-11-18,Plumbing,Yelp,Fall,New,90.8,10,317.46
2025-03-29,HVAC Repair,Google,Fall,Returning,83.35,5,141.68
2024-07-04,Electrician,Yelp,Fall,New,26.83,4,105.05
2024-08-24,Electrician,Flyers,Winter,Returning,67.94,2,10.09
2024-12-16,Plumbing,Yelp,Winter,New,193.65,9,69.14
2024-06-06,Cleaning,Flyers,Summer,Returning,71.19,3,83.29
2025-01-20,HVAC Repair,Google,Spring,New,86.39,3,100.89
2024-08-10,Electrician,Google,Winter,New,158.39,7,177.14
2024-09-23,Plumbing,Referral,Spring,Returning,161.48,2,19.73
2024-07-18,Plumbing,Yelp,Fall,New,78.8,10,330.21
2024-06-30,HVAC Repair,Yelp,Summer,Returning,145.79,2,47.58
2024-08-12,Electrician,Referral,Winter,New,109.8,1,24.73
2024-08-26,Cleaning,Yelp,Winter,New,160.91,4,41.69
2024-08-06,HVAC Repair,Referral,Winter,Returning,99.51,1,29.3
2024-12-31,Cleaning,Yelp,Winter,Returning,159.14,5,173.58
2024-09-03,HVAC Repair,Google,Spring,New,29.01,7,220.38
2025-02-28,Electrician,Google,Summer,Returning,52.1,10,231.55
2025-04-26,Plumbing,Flyers,Winter,Returning,178.72,4,126.95
2024-11-22,Plumbing,Google,Fall,New,86.57,9,111.72
2024-09-01,HVAC Repair,Yelp,Spring,Returning,84.08,8,216.75
2025-03-14,Electrician,Referral,Fall,Returning,68.25,4,125.2
2024-05-24,HVAC Repair,Google,Spring,Returning,16.89,7,77.41
2024-10-15,Plumbing,Yelp,Summer,New,17.57,1,24.19
2024-08-09,Plumbing,Flyers,Winter,New,38.81,8,114.56
2024-09-18,Plumbing,Referral,Spring,New,162.27,4,139.03
2025-04-06,HVAC Repair,Flyers,Winter,Returning,65.15,8,314.23
2024-11-02,Plumbing,Referral,Fall,New,172.61,7,90.96
2024-09-25,Plumbing,Yelp,Spring,New,117.77,6,271.88
2024-05-05,Plumbing,Flyers,Spring,New,77.98,10,265.67
2024-08-03,Cleaning,Flyers,Winter,New,61.11,1,7.57
2025-02-26,HVAC Repair,Google,Summer,Returning,160.78,9,63.18
2025-04-15,Cleaning,Flyers,Winter,Returning,130.87,1,32.77
2024-08-06,Electrician,Yelp,Winter,New,115.61,10,446.35
2024-11-02,Cleaning,Yelp,Fall,Returning,176.23,2,28.45
2025-01-02,HVAC Repair,Referral,Spring,New,100.67,7,91.3
2024-10-30,HVAC Repair,Google,Summer,Returning,121.49,1,26.48
2025-03-27,Electrician,Yelp,Fall,Returning,99.29,9,346.81
2025-02-08,HVAC Repair,Yelp,Summer,New,22.12,6,108.98
2024-10-05,Cleaning,Flyers,Summer,Returning,44.61,8,306.95
2024-09-21,Cleaning,Google,Spring,Returning,100.24,1,33.39
