Date,TimeOfDay,AdSpend,Conversions,Revenue,ServiceType,Channel,CustomerType
2024-07-17 00:00:00,Afternoon,42.32,2,115.81,Basic,Website,New
2024-02-11 00:00:00,Afternoon,14.19,4,27.81,Basic,Google Ads,Returning
2024-12-25 00:00:00,Morning,21.78,2,123.84,Luxury,Instagram,New
2024-02-02 00:00:00,Afternoon,26.33,1,27.28,Luxury,Walk-in,New
2024-05-25 00:00:00,Night,11.53,1,130.49,Luxury,Referral,Returning
2024-10-08 00:00:00,Night,49.87,2,214.52,Premium,Referral,Returning
2024-10-07 00:00:00,Afternoon,43.14,0,111.6,Premium,Walk-in,Returning
2024-02-02 00:00:00,Evening,1.97,3,63.44,Luxury,Google Ads,New
2024-07-12 00:00:00,Morning,38.52,4,236.69,Basic,Instagram,New
2024-01-11 00:00:00,Evening,21.45,1,210.21,Premium,Google Ads,Returning
2024-11-01 00:00:00,Night,40.96,1,59.41,Luxury,Walk-in,New
2024-12-15 00:00:00,Night,1.56,2,48.55,Premium,Walk-in,New
2024-01-17 00:00:00,Night,13.74,1,241.48,Basic,Google Ads,Returning
2024-05-27 00:00:00,Evening,11.88,0,264.25,Luxury,Instagram,Returning
2024-07-25 00:00:00,Afternoon,37.04,1,33.33,Luxury,Google Ads,Returning
2024-11-13 00:00:00,Morning,6.97,2,143.74,Premium,Website,Returning
2024-11-18 00:00:00,Afternoon,32.66,4,125.7,Premium,Website,New
2024-12-14 00:00:00,Night,29.5,2,189.2,Premium,Google Ads,Returning
2024-04-27 00:00:00,Night,40.27,1,273.98,Premium,Instagram,New
2024-06-12 00:00:00,Morning,34.63,0,226.71,Luxury,Website,New
2024-10-01 00:00:00,Morning,42.29,1,95.25,Basic,Website,New
2024-04-30 00:00:00,Evening,17.09,3,185.65,Basic,Referral,Returning
2024-05-02 00:00:00,Night,36.42,3,228.25,Basic,Referral,New
2024-04-01 00:00:00,Afternoon,15.41,2,223.94,Luxury,Instagram,New
2024-04-07 00:00:00,Afternoon,32.28,0,281.72,Basic,Website,Returning
2024-05-01 00:00:00,Afternoon,24.15,2,265.69,Premium,Google Ads,New
2024-01-18 00:00:00,Night,9.99,1,186.21,Basic,Google Ads,New
2024-07-01 00:00:00,Morning,8.32,3,55.13,Basic,Referral,New
2024-12-15 00:00:00,Evening,9.48,2,138.63,Premium,Referral,Returning
2024-03-01 00:00:00,Morning,36.93,1,240.7,Basic,Website,Returning
2024-02-12 00:00:00,Night,24.63,3,215.34,Premium,Website,New
2024-01-13 00:00:00,Night,37.15,4,224.28,Premium,Website,New
2024-05-29 00:00:00,Afternoon,16.04,3,59.67,Luxury,Referral,New
2024-12-23 00:00:00,Morning,21.96,2,233.75,Basic,Referral,New
2024-10-27 00:00:00,Night,33.52,1,238.88,Premium,Walk-in,New
2024-03-13 00:00:00,Evening,25.43,1,104.35,Premium,Website,New
2024-02-06 00:00:00,Afternoon,37.39,0,187.58,Premium,Instagram,New
2024-05-13 00:00:00,Morning,29.86,1,151.73,Luxury,Walk-in,Returning
2024-07-19 00:00:00,Evening,1.23,0,157.05,Premium,Walk-in,New
2024-11-28 00:00:00,Night,28.94,0,210.75,Basic,Referral,New
2024-07-12 00:00:00,Night,28.87,5,182.9,Luxury,Website,Returning
2024-06-09 00:00:00,Evening,33.7,2,127.1,Basic,Website,Returning
2024-09-18 00:00:00,Night,10.3,2,253.86,Luxury,Referral,Returning
2024-05-31 00:00:00,Night,29.47,3,21.59,Premium,Google Ads,New
2024-01-17 00:00:00,Evening,27.67,4,166.47,Premium,Walk-in,New
2024-03-01 00:00:00,Night,22.92,2,190.11,Premium,Referral,Returning
2024-10-29 00:00:00,Morning,19.64,2,142.51,Luxury,Website,Returning
2024-12-15 00:00:00,Night,1.29,3,28.74,Premium,Referral,New
2024-11-20 00:00:00,Evening,5.46,4,267.68,Basic,Instagram,New
2024-11-21 00:00:00,Afternoon,34.51,2,89.33,Luxury,Walk-in,Returning
2024-04-17 00:00:00,Night,42.31,2,230.5,Basic,Website,Returning
2024-02-15 00:00:00,Night,7.95,0,253.53,Basic,Google Ads,Returning
2024-07-13 00:00:00,Evening,35.37,1,61.84,Luxury,Google Ads,Returning
2024-11-01 00:00:00,Evening,7.41,2,150.48,Luxury,Instagram,New
2024-11-12 00:00:00,Afternoon,28.34,1,173.32,Luxury,Referral,Returning
2024-10-13 00:00:00,Evening,43.77,2,220.07,Luxury,Google Ads,Returning
2024-03-06 00:00:00,Evening,7.54,3,287.14,Luxury,Walk-in,Returning
2024-12-18 00:00:00,Evening,39.82,1,229.84,Basic,Instagram,Returning
2024-06-13 00:00:00,Night,37.72,1,54.98,Luxury,Google Ads,Returning
2024-03-09 00:00:00,Afternoon,43.9,2,225.14,Premium,Website,New
2024-12-24 00:00:00,Evening,41.32,1,207.6,Basic,Walk-in,New
2024-06-26 00:00:00,Afternoon,33.25,3,166.99,Premium,Instagram,Returning
2024-09-05 00:00:00,Evening,4.06,1,211.23,Luxury,Walk-in,Returning
2024-05-12 00:00:00,Afternoon,0.87,4,144.46,Luxury,Website,Returning
2024-12-05 00:00:00,Morning,19.74,1,294.44,Luxury,Referral,New
2024-03-21 00:00:00,Afternoon,12.11,2,18.06,Luxury,Website,Returning
2024-12-01 00:00:00,Night,20.89,0,278.62,Luxury,Google Ads,New
2024-08-08 00:00:00,Evening,41.48,4,136.78,Basic,Instagram,New
2024-04-12 00:00:00,Morning,2.61,3,143.78,Premium,Walk-in,New
2024-09-22 00:00:00,Morning,25.8,0,81.96,Basic,Google Ads,New
2024-05-04 00:00:00,Evening,2.52,1,213.93,Basic,Referral,New
2024-09-02 00:00:00,Night,45.97,0,231.51,Premium,Google Ads,New
2024-10-26 00:00:00,Night,27.15,4,111.95,Luxury,Google Ads,Returning
2024-11-13 00:00:00,Evening,4.44,4,57.89,Luxury,Walk-in,Returning
2024-11-01 00:00:00,Night,3.22,3,43.34,Luxury,Walk-in,New
2024-10-12 00:00:00,Afternoon,12.51,1,129.03,Basic,Referral,Returning
2024-09-01 00:00:00,Evening,29.89,2,220.58,Basic,Walk-in,New
2024-09-03 00:00:00,Night,37.33,1,241.44,Luxury,Referral,Returning
2024-08-28 00:00:00,Afternoon,4.06,5,185.92,Basic,Instagram,New
2024-08-10 00:00:00,Afternoon,25.53,2,109.26,Premium,Google Ads,New
2024-03-04 00:00:00,Evening,44.98,1,132.87,Premium,Walk-in,New
2024-09-26 00:00:00,Morning,26.45,4,164.99,Premium,Walk-in,New
2024-12-18 00:00:00,Afternoon,11.54,1,181.93,Basic,Referral,Returning
2024-09-07 00:00:00,Evening,4.79,3,205.93,Premium,Walk-in,New
2024-05-19 00:00:00,Night,14.48,2,49.59,Premium,Referral,Returning
2024-02-15 00:00:00,Morning,25.41,2,127.57,Premium,Google Ads,Returning
2024-07-01 00:00:00,Morning,8.2,3,41.77,Basic,Referral,New
2024-12-02 00:00:00,Morning,33.6,1,245.43,Basic,Walk-in,New
2024-09-01 00:00:00,Afternoon,22.01,0,10.92,Premium,Walk-in,New
2024-01-21 00:00:00,Morning,13.83,1,46.57,Premium,Google Ads,Returning
2024-01-05 00:00:00,Afternoon,45.54,1,120.26,Luxury,Walk-in,Returning
2024-06-10 00:00:00,Evening,44.55,0,280.73,Premium,Referral,New
2024-12-17 00:00:00,Evening,10.33,4,150.27,Premium,Website,New
2024-05-19 00:00:00,Morning,28.4,3,134.87,Luxury,Google Ads,New
2024-01-31 00:00:00,Afternoon,23.9,4,78.21,Luxury,Walk-in,Returning
2024-05-02 00:00:00,Morning,30.98,3,298.01,Premium,Website,Returning
2024-04-30 00:00:00,Night,36.81,2,115.46,Basic,Instagram,Returning
2024-12-19 00:00:00,Morning,34.38,0,240.77,Luxury,Referral,New
2024-06-03 00:00:00,Afternoon,5.1,1,52.94,Basic,Walk-in,New
2024-04-26 00:00:00,Afternoon,18.89,2,13.26,Basic,Referral,New
2024-09-03 00:00:00,Afternoon,14.63,1,298.55,Basic,Referral,New
2024-10-21 00:00:00,Morning,8.43,1,238.5,Basic,Referral,New
2024-04-07 00:00:00,Night,32.43,1,182.89,Luxury,Walk-in,Returning
2024-08-13 00:00:00,Night,33.37,1,155.85,Premium,Website,New
2024-08-14 00:00:00,Night,45.24,4,198.83,Luxury,Website,New
2024-06-26 00:00:00,Night,36.85,3,193.62,Basic,Instagram,New
2024-02-12 00:00:00,Night,33.17,4,212.48,Basic,Walk-in,New
2024-04-06 00:00:00,Afternoon,20.92,1,230.07,Luxury,Website,Returning
2024-09-30 00:00:00,Night,45.91,2,257.85,Premium,Google Ads,Returning
2024-08-20 00:00:00,Morning,27.72,2,267.54,Premium,Referral,Returning
2024-12-26 00:00:00,Evening,12.63,2,51.51,Basic,Walk-in,New
2024-07-13 00:00:00,Night,20.13,2,269.32,Premium,Walk-in,New
2024-06-02 00:00:00,Evening,44.22,4,232.64,Premium,Referral,New
2024-02-13 00:00:00,Night,43.33,2,105.6,Basic,Instagram,New
2024-02-18 00:00:00,Night,48.92,0,187.71,Luxury,Walk-in,New
2024-10-02 00:00:00,Morning,10.56,5,64.29,Premium,Walk-in,New
2024-04-11 00:00:00,Afternoon,25.68,0,107.11,Luxury,Walk-in,Returning
2024-11-11 00:00:00,Afternoon,44,6,154.32,Premium,Google Ads,New
2024-02-06 00:00:00,Afternoon,12.09,1,197.8,Premium,Google Ads,Returning
2024-05-31 00:00:00,Morning,37.96,2,96.8,Luxury,Website,Returning
2024-10-17 00:00:00,Afternoon,14.57,0,46.67,Basic,Google Ads,New
2024-06-30 00:00:00,Evening,7.99,2,172.36,Premium,Website,Returning
2024-07-30 00:00:00,Night,21.59,0,119.66,Basic,Walk-in,New
2024-03-21 00:00:00,Morning,40.5,3,227.78,Luxury,Referral,Returning
2024-09-19 00:00:00,Night,37.24,4,289.05,Basic,Google Ads,Returning
2024-01-26 00:00:00,Morning,47.63,2,219.46,Basic,Google Ads,New
2024-12-08 00:00:00,Night,49.28,3,143.42,Premium,Referral,New
2024-09-10 00:00:00,Morning,1.5,2,129.64,Basic,Website,Returning
2024-07-12 00:00:00,Morning,18.63,2,234.79,Luxury,Instagram,Returning
2024-04-17 00:00:00,Night,37.04,1,152.41,Premium,Google Ads,Returning
2024-05-19 00:00:00,Evening,23.61,2,144.85,Premium,Walk-in,Returning
2024-04-07 00:00:00,Afternoon,5.92,2,198.38,Premium,Referral,New
2024-07-06 00:00:00,Afternoon,36.37,0,19.8,Premium,Referral,Returning
2024-05-12 00:00:00,Afternoon,34.55,1,114.15,Basic,Instagram,New
2024-03-18 00:00:00,Afternoon,7.75,1,199.49,Basic,Referral,New
2024-03-23 00:00:00,Afternoon,49.45,3,66.58,Basic,Website,New
2024-05-16 00:00:00,Morning,43.01,1,249.48,Premium,Google Ads,New
2024-05-20 00:00:00,Morning,33.67,2,259.67,Basic,Google Ads,Returning
2024-07-01 00:00:00,Night,22.1,3,137.4,Premium,Google Ads,New
2024-04-21 00:00:00,Evening,37.34,2,268.88,Luxury,Referral,New
2024-12-11 00:00:00,Night,15.39,2,110.91,Basic,Website,New
2024-01-27 00:00:00,Night,0.76,3,87.32,Luxury,Referral,New
2024-10-27 00:00:00,Night,35.81,1,106.38,Basic,Instagram,Returning
2024-05-30 00:00:00,Afternoon,37.39,1,295.47,Luxury,Website,Returning
2024-10-24 00:00:00,Afternoon,21.71,1,225.11,Basic,Website,Returning
2024-11-05 00:00:00,Afternoon,13.23,2,74.86,Premium,Walk-in,New
2024-07-04 00:00:00,Afternoon,1.51,1,104.29,Luxury,Walk-in,New
2024-10-09 00:00:00,Evening,10.61,1,262.18,Premium,Instagram,Returning
2024-10-09 00:00:00,Evening,12.99,6,286.31,Luxury,Walk-in,New
2024-10-06 00:00:00,Afternoon,16.69,4,143.72,Premium,Instagram,Returning
2024-08-28 00:00:00,Evening,36.42,1,270.16,Luxury,Google Ads,New
2024-05-23 00:00:00,Afternoon,8.73,0,200.56,Luxury,Instagram,Returning
2024-01-02 00:00:00,Afternoon,18.93,6,181.83,Premium,Walk-in,Returning
2024-08-09 00:00:00,Morning,6.38,2,160.33,Luxury,Google Ads,New
2024-01-29 00:00:00,Morning,13.56,1,221.68,Luxury,Instagram,Returning
2024-04-09 00:00:00,Evening,6.78,1,62.03,Luxury,Website,Returning
2024-09-06 00:00:00,Evening,40.96,5,83.77,Luxury,Instagram,Returning
2024-06-26 00:00:00,Afternoon,10.18,1,71.76,Luxury,Instagram,New
2024-02-15 00:00:00,Night,24.57,5,254.43,Luxury,Instagram,Returning
2024-10-05 00:00:00,Afternoon,31.83,2,222.51,Luxury,Google Ads,New
2024-11-17 00:00:00,Evening,4.98,3,274.5,Luxury,Instagram,Returning
2024-05-15 00:00:00,Evening,43.3,4,95.84,Premium,Instagram,New
2024-06-28 00:00:00,Afternoon,3.14,0,214.08,Premium,Website,New
2024-06-04 00:00:00,Evening,9.02,2,237.64,Premium,Walk-in,Returning
2024-03-29 00:00:00,Afternoon,21.01,2,163.64,Basic,Google Ads,New
2024-09-29 00:00:00,Afternoon,46.05,4,257.32,Luxury,Website,New
2024-12-19 00:00:00,Morning,26.93,2,45.09,Basic,Walk-in,New
2024-12-28 00:00:00,Morning,17.08,0,228.15,Premium,Referral,New
2024-08-02 00:00:00,Night,15.39,0,186.49,Basic,Instagram,New
2024-11-06 00:00:00,Morning,27.99,1,53.38,Basic,Referral,New
2024-04-15 00:00:00,Morning,31.58,2,183.96,Premium,Website,New
2024-03-20 00:00:00,Night,36.69,1,186.43,Basic,Walk-in,Returning
2024-09-12 00:00:00,Afternoon,17.54,1,19.39,Premium,Referral,New
2024-09-25 00:00:00,Morning,8.83,5,30.55,Luxury,Referral,Returning
2024-07-11 00:00:00,Morning,24.75,2,231.19,Basic,Website,New
2024-05-02 00:00:00,Evening,24.41,4,94.84,Luxury,Google Ads,New
2024-07-11 00:00:00,Evening,2.42,1,229.53,Premium,Walk-in,Returning
2024-07-04 00:00:00,Night,2.96,4,108.37,Premium,Instagram,Returning
2024-08-15 00:00:00,Evening,13.17,1,290.97,Luxury,Referral,New
2024-05-29 00:00:00,Night,4.87,2,38.81,Premium,Walk-in,Returning
2024-04-11 00:00:00,Morning,38.25,0,69.49,Basic,Referral,Returning
2024-06-20 00:00:00,Night,39.21,3,29,Basic,Referral,New
2024-01-30 00:00:00,Morning,41.84,2,191.62,Basic,Instagram,New
2024-05-09 00:00:00,Evening,11.45,4,16.9,Premium,Referral,Returning
2024-07-20 00:00:00,Evening,11.05,1,125.38,Basic,Walk-in,Returning
2024-09-07 00:00:00,Evening,1.78,2,110.8,Luxury,Referral,New
2024-10-27 00:00:00,Afternoon,46.83,2,68.37,Luxury,Referral,Returning
2024-09-24 00:00:00,Night,48.83,4,142.56,Basic,Google Ads,Returning
2024-02-12 00:00:00,Afternoon,37.4,4,259.94,Basic,Instagram,New
2024-09-04 00:00:00,Morning,0.95,1,227.16,Luxury,Walk-in,New
2024-03-12 00:00:00,Evening,16.35,5,95.38,Premium,Referral,New
2024-05-05 00:00:00,Morning,20.25,3,81.29,Basic,Website,New
2024-02-26 00:00:00,Afternoon,49.65,2,36.53,Luxury,Referral,Returning
2024-12-26 00:00:00,Afternoon,41.78,2,25.08,Luxury,Instagram,New
2024-03-25 00:00:00,Evening,49.29,2,160.57,Premium,Instagram,New
2024-01-06 00:00:00,Night,2.62,1,294.07,Premium,Walk-in,New
2024-05-04 00:00:00,Afternoon,2.25,2,56.6,Premium,Website,New
2024-11-20 00:00:00,Night,33.75,1,55.45,Luxury,Google Ads,Returning
2024-04-29 00:00:00,Morning,34.19,0,109.67,Premium,Referral,New
2024-07-12 00:00:00,Night,40.97,2,175.98,Basic,Google Ads,New
2024-11-25 00:00:00,Night,49.75,2,17.65,Luxury,Website,New
2024-05-17 00:00:00,Afternoon,2.43,1,164.02,Basic,Website,New
2024-04-08 00:00:00,Afternoon,44.28,1,22.81,Premium,Walk-in,New
2024-06-17 00:00:00,Evening,24.01,1,267.59,Basic,Instagram,New
2024-12-02 00:00:00,Evening,11.62,1,13.25,Luxury,Walk-in,New
2024-08-30 00:00:00,Afternoon,24.48,1,178.17,Premium,Walk-in,New
2024-08-26 00:00:00,Evening,48.77,1,235.79,Basic,Website,New
2024-03-02 00:00:00,Morning,43.93,1,179,Basic,Website,Returning
2024-03-02 00:00:00,Evening,33.66,1,176.3,Luxury,Website,New
2024-04-26 00:00:00,Morning,32.63,1,85.4,Basic,Website,New
2024-09-30 00:00:00,Afternoon,0.05,3,25.68,Premium,Instagram,Returning
2024-12-02 00:00:00,Night,23.56,0,181.63,Luxury,Referral,New
2024-12-19 00:00:00,Night,43.91,3,294.03,Basic,Referral,Returning
2024-03-19 00:00:00,Afternoon,46.66,3,240.16,Luxury,Website,Returning
2024-04-18 00:00:00,Morning,37.47,1,229.15,Basic,Referral,New
2024-08-06 00:00:00,Morning,0.55,2,126.76,Luxury,Instagram,Returning
2024-07-23 00:00:00,Afternoon,1.23,2,248.58,Basic,Referral,Returning
2024-01-22 00:00:00,Morning,3.1,1,172.7,Premium,Referral,New
2024-09-24 00:00:00,Evening,12.96,3,281.46,Basic,Instagram,Returning
2024-06-14 00:00:00,Evening,38.87,1,73.33,Premium,Referral,Returning
2024-12-26 00:00:00,Night,19.33,1,126.81,Basic,Google Ads,Returning
2024-01-05 00:00:00,Evening,13.48,6,294.94,Basic,Website,New
2024-06-15 00:00:00,Night,20.37,2,167.5,Basic,Google Ads,Returning
2024-01-02 00:00:00,Evening,33.34,2,204.58,Basic,Walk-in,New
2024-01-16 00:00:00,Evening,18.37,2,189.6,Premium,Instagram,Returning
2024-11-19 00:00:00,Evening,34.34,3,286.81,Luxury,Google Ads,Returning
2024-01-26 00:00:00,Night,11.09,1,185.7,Premium,Google Ads,New
2024-08-01 00:00:00,Night,13.62,0,10.84,Premium,Walk-in,Returning
2024-09-13 00:00:00,Evening,31,0,189.28,Luxury,Walk-in,New
2024-03-15 00:00:00,Morning,34.75,2,205.94,Premium,Referral,Returning
2024-01-09 00:00:00,Evening,45.22,4,181.69,Premium,Instagram,New
2024-02-21 00:00:00,Morning,16.72,2,74.9,Basic,Walk-in,Returning
2024-04-09 00:00:00,Night,5.67,2,59.43,Luxury,Website,New
2024-03-03 00:00:00,Morning,24.59,3,283.97,Luxury,Website,Returning
2024-09-12 00:00:00,Morning,34.63,0,204.25,Basic,Referral,Returning
2024-06-05 00:00:00,Night,12.44,1,267.24,Luxury,Google Ads,Returning
2024-01-16 00:00:00,Evening,13.35,1,294.74,Basic,Walk-in,New
2024-10-25 00:00:00,Night,33.74,1,93.16,Premium,Google Ads,Returning
2024-10-22 00:00:00,Afternoon,9.11,3,77.17,Basic,Instagram,Returning
2024-08-14 00:00:00,Afternoon,17.83,1,107.81,Luxury,Referral,Returning
2024-04-16 00:00:00,Night,46.16,1,54.42,Premium,Google Ads,Returning
2024-09-21 00:00:00,Afternoon,14.76,0,75.15,Basic,Walk-in,Returning
2024-07-15 00:00:00,Morning,13.29,2,257.91,Premium,Walk-in,Returning
2024-12-15 00:00:00,Night,19.02,3,281.48,Premium,Referral,Returning
2024-05-16 00:00:00,Night,33.85,2,174.07,Luxury,Walk-in,Returning
2024-08-29 00:00:00,Night,32.74,2,137.94,Premium,Google Ads,Returning
2024-11-25 00:00:00,Afternoon,1.11,0,142.48,Luxury,Website,New
2024-11-07 00:00:00,Evening,10.57,3,299.91,Premium,Website,Returning
2024-09-05 00:00:00,Morning,49.78,2,104,Luxury,Google Ads,Returning
2024-10-29 00:00:00,Evening,9.11,1,18.53,Premium,Website,New
2024-09-23 00:00:00,Morning,46.8,1,238.51,Luxury,Google Ads,New
2024-11-09 00:00:00,Morning,27.2,3,167.98,Luxury,Google Ads,New
2024-02-08 00:00:00,Morning,18.92,5,55.82,Premium,Referral,Returning
2024-06-13 00:00:00,Morning,31.9,3,16.53,Luxury,Referral,New
2024-07-21 00:00:00,Night,13.93,1,173.16,Premium,Google Ads,New
2024-01-03 00:00:00,Morning,12.63,3,216.58,Basic,Google Ads,Returning
